available;categoryId;category_name;currencyId;description;id;modified_time;name;offer_id;oldprice;picture;price;type;url;vendor
true;RC Parts;RC Parts;USD;Features   Using high strength EPP foam and carbon fiber reinforcement to make the product performance and quality better and more stable   Use 1020 high efficiency coreless motor  with stronger power   Adopt 6 axis gyroscope  It has a stable  fast and accurate flight attitude  which is especially suitable for beginners to fly   Using 2 4GHZ communication protocol  can play several airplanes at same time   With a one key rollover function  novices can also make cool actions   One key return home function  after setting according to the manual  you can use this button to make the aircraft fly back when you can t see the aircraft clearly   Professional customized high rate lithium polymer 3 7V 400mah 20C battery with high discharge rate and long service life  The flight time is about 15 minutes  and the normal use can reach 500  cycles   Dedicated USB 3 7V lithium battery charger  with balance charge and charge stability function Specification Item Name  Original Eachine Spitfire Mini Airplane Spare PartsColor  As picturePackage Included  Optional 1x Fuselage Kit with motor1x Main Wing kit1x Tie rod 1x Propeller1x Gearbox1x Front Landing Gear1x Receiver board;1922172;1690061900;Original Eachine Spitfire 400mm Mini Airplane RC Spare Parts Accessories Propeller Receiver Landing Gear Gearbox Fuselag;;15.99;https://imgaz1.staticbg.com/thumb/large/oaupload/banggood/images/C8/01/2f13106e-f335-4289-8887-e516737f0430.png;6.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FOriginal-Eachine-Spitfire-400mm-Mini-Airplane-RC-Spare-Parts-Accessories-Propeller-Receiver-Landing-Gear-Gearbox-Fuselage-Main-Wing-Rod-p-1922172.html;Eachine
true;Bike & Bicycle;Bike & Bicycle;USD;Specification Irradiation distance300 metersBrightness3000LMLED2 pcs 2 XPEAngle150°Bracket360 degree rotation bracketProduct usageGreen light 100  50   Blue light 50  25   One light flash capacity25  Need to charging Size80mm 3 1    Lengh   40mm   1 6    width   26mm   1   height 5 switch ModeLow Mid High Strobe SOSWorking voltage3 0 4 5VProduct colorBlackWeight200gLight colorWhiteProduct Materialaluminium alloyCharging time2 5 hoursContinuous working time6 hours on high modePower supplybuilt in one battery  1800mah Waterproof rateIPX6 small rain Splash water Features and Benefits  3000 Lumens Super Bright Bike Headlight Made up of two 2 XPE beads  3000 Lumens Brightness  very bright bike light  300 meters lighting distance  Make sure your safety in night cycling  5 Lighting Modes and 1800 mAh Battery Low Mid High Strobe SOS  High Mode 800LM  Middle Mode 400LM  Strobe Mode 800LM  Low 200LM  SOS 80LM  The battery is USB rechargeable  can be charged with power bank  computer and so on  2 5H Charging Time  Charging Protection and Indictors  Multi purpose Emergency Light You can remove the headlight from bracket very easily as an emergency flashlight  You can use it when you are walking  hiking  camping  breaking down and many other activities  IPX6 Waterproof and Aluminum Alloy This bike headlight s material is Aluminum Alloy rather than ABS plastic  Very comfortable grip feeling  You will be amazed when you first touch it  IPX6 waterproof  you can ride in small rain Package Conten;1634454;1690061900;3000LM Double LED Rechargeable Bicycle Head Light Bike Type-C Lamp+Rotating Mount Headlamp;;39.99;https://imgaz1.staticbg.com/thumb/large/oaupload/ser1/banggood/images/4D/5F/dd7f3e1b-4235-4755-abe5-2e476b5a79bd.jpg;17.49;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2F3000LM-Double-LED-Rechargeable-Bicycle-Head-Light-Bike-Type-C-Lamp%2BRotating-Mount-Headlamp-p-1634454.html;Banggood
true;Woodworking Tools;Woodworking Tools;USD;Description Fonson Aluminum Alloy Track Saw Guide Rail Square Woodworking 90 Degree Right Angle Guide Plate Electric Circular Saw Track Engraving Machine Open Board Auxiliary RailSquare Cutting EverytimeSpecifications BrandFonsonMaterialAluminum AlloyAngleRight Angle 90°Size365x150x10mmWight1KGApplicationCompatible with Festo Triton railFeature    Big Size Board  Perfect size for square guide  nice to operate    Premium Quality  Made of aluminum alloy  durable and non wearing    Accurate Angle Degree  Make you easy square cutting everytime  accurate 90 degrees    StableAdjustable  New type of connection clip  stable and safe  Can adjust the lateral distance    Multifuntion  Can be connected with Fonson track as cutting guide  Product ID  1939050Package Included 1 x Track Saw SquareNote Please note that the package included the black track saw square only  The track rail is to show the usage;1937748;1690061900;Fonson Aluminum Alloy Track Saw Square Guide Rail Square Woodworking 90 Degree Right Angle Guide Plate Square Cutting Ev;;79.99;https://imgaz2.staticbg.com/thumb/large/oaupload/banggood/images/5F/E9/b253b949-2a41-43c2-a1f9-6eb90595c962.jpg;49.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FFonson-Aluminum-Alloy-Track-Saw-Square-Guide-Rail-Square-Woodworking-90-Degree-Right-Angle-Guide-Plate-Square-Cutting-Everytime-p-1937748.html;FONSON TOOLS
true;RC Parts;RC Parts;USD;FlySky FS iA6 2 4G 6CH AFHDS 2A Receiver For FS i10 FS i6 TransmitterDescription Brand Name  FlyskyItem Name  FS iA6 receiverChannels  6Frequency Range  2 4 2  48 GHzNumber of Band  140Transmitting Power  not more than 20dBmReceiver Sensitivity  105dBm2 4G modes  Automatic frequency second generation digital systemsEncoding  GFSKWeight  6 4gInput Power  4 0 6  5 V DCDimensions  40 4 x 21 1 x 7 35 mmColor  Blacki BUS Interface  NoData Acquisition Interface  NoCertification  CE0678 FCCUsage  Suitable for RC Airplane   gliders   helicopterCompatible Transmitter  Flysky FS i10 FS i6 FS i4 FS GT2F FS GT2E FS GT2BFeatures Reliable  interference free 2 4GHz AFHDS2A signal operation Ultra light weight design Easy to bind and very fast link up 6 channel receiver compatible Flysky i4 i6 i10 GT2E GT2F GT2G transmitter Quick and extremely stable in performance Package Included 1x Flysky FS iA6 receiver;985684;1690061900;FlySky FS-iA6 2.4G 6CH AFHDS 2A Receiver For FS-i10 FS-i6 Transmitter;;20.99;https://imgaz.staticbg.com/thumb/large/oaupload/banggood/images/48/FC/0ad825ad-acff-ed17-2ecd-5efed1ae05f5.jpg;10.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FFlySky-FS-iA6-2_4G-6CH-AFHDS-2A-Receiver-For-FS-i10-FS-i6-Transmitter-p-985684.html;FlySky
true;Mobile Phone Accessories;Mobile Phone Accessories;USD;Features    Auto Sensing Infrared smart sensor  hold the phone on the bracket for 0 5 seconds  the smart sensor automatically clamps  Whether it is emergency braking  speed bumps  or rugged mountain roads  the phone will not fall  and there is no fear of bumps    Clip on   Stick on Base There are two ways to use the seat frame with clip ventilation holes and the sticking base  instrument panel   anti sway chuck  soft silicone pad to prevent damage to the car  Firm base sticking  leaving no traces and can be used repeatedly without hurting the car or leaving Traces    360° Universal Joint Place vertically or horizontally  born for both navigation and video viewing  one handed access  more convenient   200mAh High Capacity Can be used for one month on one charge Electric opening and closing  intelligent electric drive device  electric lock with microswitch    Quiet Design There will be no sound during use and will not disturb your driving    Small Size It is small in size  and will not obstruct the field of vision Specification BrandBlitzWolfModelBW CF2Installation MethodInstrument Panel  OutletPhone Size68mm 90mmPhone Thickness1 5CMMaterialAluminum Alloy   ABSBattery Capacity200mAhRated InputDC5V  0 5ASizeAbout 77 57 32mmAccessories1  Electric car holder1  Outlet bracket1  Sticky clip;1887323;1690061900;BlitzWolf BW-CF2 2 in 1 Infrared Induction Smart Sensor Car Phone Holder Air Vent/ Dashboard Stand for 68-90mm Width Pho;;35.99;https://imgaz1.staticbg.com/thumb/large/oaupload/banggood/images/03/0E/2583cad9-32f7-4716-a605-d489ed6148c9.jpg;11.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FBlitzWolf-BW-CF2-2-in-1-Infrared-Induction-Smart-Sensor-Car-Phone-Holder-Air-Vent-or-Dashboard-Stand-for-68-90mm-Width-Phone-Auto-Support-Mount-Car-Phone-Bracket-Universal-for-iPhone-13-POCO-X3-F3-for-Samsung-p-1887323.html;BlitzWolf
true;Woodworking Tools;Woodworking Tools;USD;Specification Material  Stainless SteelSize  100x70mmMeasurement Accuracy  DIN875 0 GradeColor  SilverUsed for   Check the verticality of the tool  You can also underline it verticall Quantity  1pc Features   90 degree angle square ruler   High precision angle ruler 0 grade range  accurate for set up and layout work   Used to test the vertical error of the workpiece or test equipment  machine tool vertical and horizontal rails perpendicularity   Suitable for detecting angles and marking on workpieces and great for making perfect corners  centering stone etc  Package Included 1 x Angle RulerMore Details;1437257;1690061900;Drillpro 100x70mm 90 Degree Angle Corner Square Ruler Wide Base Gauge Woodworking Tool;;39.99;https://imgaz1.staticbg.com/thumb/large/oaupload/banggood/images/FC/FC/aeb068d3-f15e-403d-b838-c17d13a87acf.JPG;14.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FDrillpro-100x70mm-90-Degree-Angle-Corner-Square-Ruler-Wide-Base-Gauge-Woodworking-Tool-p-1437257.html;Drillpro
true;Measurement & Analysis Instruments;Measurement & Analysis Instruments;USD;The Lastest 3 in 1 Pen type Multimeter of MUSTOOL team in 2021   Multimeter   Voltage test pen   Phase Sequences MeterPowerful function and Easy to carry Only 17cm  NOTE MT007 PRO EN is with voice by default  If you press and hold the N LP button and turn on the phone  the voice broadcast will be cancelled  The broadcast language only supports English Description ScreenMultimeterVoltage Test PenPhase Sequences MeterVoice BroadcastFrequency TestMT007Normal LCD Screen √√   MT007 ProColor Screen√√√ √MT007 Pro ENColor Screen√√√√ Specifications DC voltage  0 8 1000VAC voltage  0 8 700VResistance  0 1 60MΩCapacitance  10nF  60mFFrequency  1Hz 10MHzTemperature   20°C 50°C 0 122°FDiode  3 0VBuzzer  0 1 50ΩFire distinguish  √Phase sequences √Flashlight  √True RMS  √Power supply  1 5V AAA 1Low voltage prompt  √Automatic shutdown  √Backlight  √Keeping data  √Size  171 21 21mmNet weight  80gPackage included 1 x Multimeters  Battery not included 1 x Test leadPlease click here to download the English manualDetails picture;1806010;1690061900;MUSTOOL MT007/MT007 Pro/MT007 Pro-EN True RMS Digital Multimeter + VoltageTest Pen +Phase Sequences Meter3 In 1 Colo;;25.99;https://imgaz1.staticbg.com/thumb/large/oaupload/banggood/images/31/AB/526a495d-cdcc-4602-88a3-9d3796a5260a.jpg;14.69;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FMUSTOOL-MT007-or-MT007-Pro-or-MT007-Pro-EN-True-RMS-Digital-Multimeter-%2B-Voltage-Test-Pen-%2BPhase-Sequences-Meter-3-In-1-Color-Screen-Voice-Broadcast-p-1806010.html;MUSTOOL
true;Gardening;Gardening;USD;Features  Powerful Bug Zapper Electric Mosquito Killer zapper uses blue violet hyacinthine light to attract mosquitoes  gnats  flies  moths  spiders and other phototactic insects  Then the high voltage grid will trap and electrocute these flying insects immediately  The bug zapper will be more effective when used in a dark environment  SafetyDurable  Electric shock only when mosquitoes touch  adopts physical way to kill mosquitoes which ensures non toxic  no chemical and no radiation  The tough and protective ABS shell prevents accidental contact from both humans and pets  Ideal to use in the kitchen  bedroom  balcony  garden  courtyard  office  camping  travel etc  ExquisitePortable  Hanging hoop makes this cute mosquito killer convenient to hang  Please use it continuously for more than 48 hours for the first use Specifications Material  Fireproof ABSColor  Blue  WhiteSize  28cm   19cm   3 5cmBattery Capacity  2000mAhWorking Time  About 12 HoursInput  DC5V 1ACharging Port  Type CLamp Output  2 5WElectric Shock  2000VRated Frequency  60HzWavelength  365 NmPackage included 1   Electric Mosquito Bug Zapper1   USB Type C Charging Cable;1989423;1690061900;AGSIVO Cordless High Power Electric Mosquito Bug Zapper Mosquito Killing Lamp with Rechargeable Battery for Indoor and O;;39.99;https://imgaz3.staticbg.com/thumb/large/oaupload/banggood/images/77/D0/aadfef58-f82b-47b0-a56d-96de06cd8b10.jpg;24.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FAGSIVO-Cordless-High-Power-Electric-Mosquito-Bug-Zapper-Mosquito-Killing-Lamp-with-Rechargeable-Battery-for-Indoor-and-Outdoor-p-1989423.html;AgSivo
true;Bike & Bicycle;Bike & Bicycle;USD;Specification BrandLAOTIEMaterialMetalPlasticFunctionLeft And Right Turn IndicationApplicable Model36 60V Scoorter Package included 1 X LAOTIE Turn Signal A Pair;1959442;1690061900;LAOTIE 36-60V Wide Voltage Turn Signal Light Electric Scootor Taillight For Electric Scooters For ES19 TI30 ES18P T30 SR;;59.99;https://imgaz2.staticbg.com/thumb/large/oaupload/banggood/images/95/9C/a8840a84-8e64-4220-8436-0efe1ad21424.jpg;11.59;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FLAOTIE-36-60V-Wide-Voltage-Turn-Signal-Light-Electric-Scootor-Taillight-For-Electric-Scooters-For-ES19-TI30-ES18P-T30-SR10-ES18-Lite-L8S-PRO-ES10P-L6-Pro-p-1959442.html;LAOTIE
true;Measurement & Analysis Instruments;Measurement & Analysis Instruments;USD;If you need other Borescope click ID 1985760  1986262  1986466  1987650  1987652 Features     Dual Lens Screen Endoscope     4 5 inch full color HD IPS screen     The resolution of the front camera and the side camera are both to 1080P     Powe on and play  no need to download software     2600mah battery  5 hours working time     Light wheel used to control LED lights to work in dark areas     Support record video and take picture  files will be directly stored to your TF card not include TF card      IP68 waterproof camera     front camera focal length is 5cm 500cmside camera focal length is 3cm 500cm    8mm Lens LEDs Light  8 1 LEDs5 5mm Lens LEDs Light  6 1 LEDs    The lens does not auto focus     The best resolution distance is 6cm 4cm front camera side camera   The resolution reduces when the distance is farther or closer     Equipped with adequate accessories  Hook  Magnet Specification Model  P50Pixel camera  Both 1920 1080Image Format  JPGVideo format  MP4Field of view  70°Pixels  2 millionDisplay  4 5 inch IPS screenLighting method  9 LED LightLens diameter  5 5mm 8mm dual lensHard Cable length  2 5 10MWaterproof grade  IP68Working length  2000 5000 10000mmPower input  DC 5V 500mA 1APackage included 1 x Borescope1 x Hard cable1 x Small hook1 x Magnet1 x Hook;1943520;1690061900;P50 5.5/8mm Dual-lens 1080P HD 4.5inches IPS Screen Industrial Borescope IP68 Waterproof Borescope with 9 LED Lights;;59.99;https://imgaz2.staticbg.com/thumb/large/oaupload/banggood/images/D4/48/59ad6ee6-4fc1-4c47-8d32-82f9bc5ef714.jpg;49.99;;https://ad.admitad.com/g/e8f129b05e5e996eb3366213826a88/?f_id=19389&ulp=https%3A%2F%2Fwww.banggood.com%2FP50-5_5-or-8mm-Dual-lens-1080P-HD-4_5inches-IPS-Screen-Industrial-Borescope-IP68-Waterproof-Borescope-with-9-LED-Lights-p-1943520.html;Banggood
