id;name;site;rating;advcampaign_id;advcampaign_name;logo;description;species;promocode;promolink;gotolink;date_start;date_end;exclusive;types;categories;special_category;discount
567883;40% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;Dual Mode BT3/5.2 2.4G Wireless Mouse Adjustable 800-1600DPI Rechargeable LED Light Silent Mice for Laptop PC;promocode;BG93de76;;https://ad.admitad.com/g/98rgbn6imr5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;40%
568197;65% OFF (Order Over US$1);https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;Red 14.8V 500mAh/1100mAh 25C 4S Lipo Battery JST Plug for RC Cars Boats Models Spare Parts;promocode;BGdaf61e;;https://ad.admitad.com/g/gk51nus2zb5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-09-19 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;65%
568198;31.6% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;AGSIVO 21 Inch Mini Travel Sun & Rain 8 Ribs Umbrella UPF 50+ UV Protection Light Folding Compact Pocket Umbrella For Men / Women / Kids / Girls / Boys;promocode;BG62d1b2;;https://ad.admitad.com/g/erpnj26f4s5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;31%
568199;12.5% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;T-BAO MN100 Intel Alder Lake N100 MAX 3.40 GHz Mini PC 8GB RAM 256GB SSD Windows11 Mini Computer DP Desktop PC;promocode;BG89b04c;;https://ad.admitad.com/g/q1tz3a5v4t5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;12%
568200;15% OFF (Order Over US$0.1);https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;5pcs Woodworking Hole Saw Cutter Drill Bit Set with Limit Stop Alloy Head Cone Hole Drill for Screw Installation and Woodworking Punching.;promocode;BG1993701;;https://ad.admitad.com/g/crgtp1fy405e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-06 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;15%
568201;10% OFF (Order Over US$1);https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;NovSight A500-N39 2PCS 72W DC9-32V Pair Car Headlight LED Bulbs 10,000LM/PAIR Car Headlamps 6000K IP68 Waterproof;promocode;BG50ad9c;;https://ad.admitad.com/g/a5yfj40qih5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;10%
568202;451% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;Rogbid Tank M1 5ATM Waterproof Swimming Hifi Bluetooth Call Heart Rate Blood Pressure SpO2 Monitor Fitness BT5.3 Smart Watch;promocode;BGROGM1;;https://ad.admitad.com/g/qk5aeht3865e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;45%
568203;16.67% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;BlitzWolf BW-UPC2 256GB USB Disk 2 in 1 Type-C USB3 Flash Drive Ultra-fast Transmission 360° Rotation Zinc Alloy 256GB Support OTG Pendrive;promocode;BG45d449;;https://ad.admitad.com/g/sy36mk3aep5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;16%
568204;10% OFF (Order Over US$1);https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;LDRC 1802 RTR 1/18 2.4G 4WD RC Car FC Racing Drift Gyro On-Road Full Proportional Vehicles Models Toys;promocode;BG1c2465;;https://ad.admitad.com/g/192dr0789q5e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-09-30 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;10%
568205;58.59% OFF;https://www.banggood.com/;0.00;13623;Banggood WW;https://cdn.admitad.com/campaign/images/2020/9/30/13623-b58edd098a89c836.png;[EU/US Direct] ATOMSTACK F1 Laser Cutting Honeycomb Working Table Board Platform for CO2 or Diode Laser Engraver Cutting Machine 380x284mm Easy-observing Table-protecting;promocode;BG0c0f1c;;https://ad.admitad.com/g/jvdk2mgab75e996eb3366213826a88/?i=3;2023-08-02 00:00:00;2023-08-31 00:00:00;false;Discount on an order;Toys, Kids & Babies, Computers & Electronics, Marketplaces (including Chinese Stores), Hobby & Stationery;;58%
