"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"33004288371","https://ae04.alicdn.com/kf/HTB1bEx4R9rqK1RjSZK9q6xyypXa1.jpg",,"Girls Pastel Unicorn Flower Tutu Dress Kids Crochet Tulle Strap Dress Ball Gown with Daisy Ribbons Children Party Costume Dress","USD 6.58","USD 5.92","10%","USD","9","USD 0.53","543","96.0%","https://s.click.aliexpress.com/e/_DmWeOCN",,,,,,
"32648401785","https://ae04.alicdn.com/kf/HTB1g9afMpXXXXbeXFXXq6xXFXXXN.jpg",,"2016 New Winter Girls Clothes Long Sleeve Pirncess Dress Kids Wedding Party Dresses For 0-2 Years Flowers Prints Baby Clothing","USD 7.35","USD 6.98","5%","USD","8.0","USD 0.56","52","100.0%","https://s.click.aliexpress.com/e/_DnrttxR",,,,,,
"1005003197691924","https://ae04.alicdn.com/kf/Sc607ba51c8974024900bb68b15d210b8N.jpg",,"Summer Tank Tops For Girls Cartoon Underwear Young Teens In Lingerie Cotton Sport Top Children Undershirts 3pcs/lot","USD 10.29","USD 9.67","6%","USD","8.0","USD 0.77","460","97.9%","https://s.click.aliexpress.com/e/_Dl1YBch",,,,,,
"1005004391054838","https://ae04.alicdn.com/kf/Sc3edd8e602714c2e9cd87fe385384c3c8.jpg",,"Baby Plush Toys Cotton Muslin Appease Towel Sleeping Cuddling Dolls For Baby Educational Animals Baby Comforter Toy","USD 4.89","USD 3.23","34%","USD","8.0","USD 0.26","166","97.8%","https://s.click.aliexpress.com/e/_DEVsSAv",,,,,,
"1005003195668598","https://ae04.alicdn.com/kf/H7dc976be945a4f15b2061452461e1429G.jpg",,"New Kids Coat Tops Winter Baby Girls Clothes Children Fashion Plaid Thick Jacket Toddler Casual Costume Infant Boys Sportswear","USD 15.05","USD 8.13","46%","USD","8.0","USD 0.65","150","95.3%","https://s.click.aliexpress.com/e/_DE45Wb7",,,,,,
"1005003466625888","https://ae04.alicdn.com/kf/Hb856fe0ed86842c483edc52834d441066.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/337419189564.mp4","New Baby Girls Christmas Socks Toddler Big Bow Red Knee High Long Socks Soft Cotton Kids Sock Newborn Gift Socken For 0-5 Years","USD 4.68","USD 3.56","24%","USD","8.0","USD 0.28","325","98.0%","https://s.click.aliexpress.com/e/_DEqENyZ",,,,,,
"1005004387865737","https://ae04.alicdn.com/kf/Scfc5b712c09a4aaebbb7de2bef77fca8v.jpg",,"2023 New Baby Cotton Sleeveless Bodysuit + Hat Solid Infant Vest Jumpsuit Cute Toddler Boy Overalls Baby Girl Outfits Clothes","USD 23.16","USD 11.58","50%","USD","8.0","USD 0.93","35","98.8%","https://s.click.aliexpress.com/e/_DlSF6nb",,,,,,
"1005003945205927","https://ae04.alicdn.com/kf/Sc5d129660cd1499695b6d133cec89412i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348080780781.mp4","Newborn Baby Prewalker Girls Boys Casual Shoes Leather Non-Slip Soft-Sole Infant Toddler First Walkers 0-18M Baptism","USD 5.85","USD 3.98","32%","USD","8.0","USD 0.32","935","92.5%","https://s.click.aliexpress.com/e/_DkgAqBL",,,,,,
"1005004671122223","https://ae04.alicdn.com/kf/S4969bb0c9268455d8fabc359a3f95b87U.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100082943225.mp4","Brand Baby Girls Swimming Suit Wear Flower Children Kawaii BC Mr TAO Clothes Kids SwimWears Sister Brother Matching 18M-9T","USD 12.13","USD 9.70","20%","USD","10.0","USD 0.97","368","95.2%","https://s.click.aliexpress.com/e/_DlIKnh7",,,,,,
"1005005007235309","https://ae04.alicdn.com/kf/S267f856b8dad41c4ab167e87c6d3e984V.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100098121509.mp4","Cartoon Dinosaur Children Baseball Cap Cute Animal Kids Sun Hat Spring Corduroy Outdoor Boys Girls Peaked Caps Bonnet Gorras","USD 7.68","USD 4.61","40%","USD","8.0","USD 0.37","374","96.3%","https://s.click.aliexpress.com/e/_Dd5Q63j",,,,,,
