"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005005252814185","https://ae04.alicdn.com/kf/S3791f64ef81a44cdb003e6d15572f300C.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100053334494.mp4","Table Mat Camping Wood Roll Table Mat 85 115 PU Leather Thicken Waterproof Heat-Resistant Wooden Desk Pad For Outdoor Picnic BBQ","USD 18.72","USD 9.18","0%","USD","7","USD 0.64","239","95.2%","https://s.click.aliexpress.com/e/_DDhLznB",,,,,,
"33015248376","https://ae04.alicdn.com/kf/H5e64d6c380be491d895cb0e305c53005n.jpg",,"Rear Ebike Battery 36V 10.4Ah 18650 Electric Bike Battery Ebike Akku 36V for E-GO!, Wondervelo,Hapex, City Line F1 F2,M1 M2","USD 460.00","USD 170.20","63%","USD","8.0","USD 13.62","21","100.0%","https://s.click.aliexpress.com/e/_DElmk9P",,,,,,
"32992056520","https://ae04.alicdn.com/kf/HTB1ibUpNirpK1RjSZFhq6xSdXXa2.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/233411422103.mp4","Ufishing Japan Jigging Fishing Lure 1 Pcs/Lot Dragon Bone designed Saltwater lures Luminous Metal Jig 80g 100g 130g","USD 3.90","USD 3.43","12%","USD","7","USD 0.24","9","100.0%","https://s.click.aliexpress.com/e/_DdmmDTB",,,,,,
"1005005120865684","https://ae04.alicdn.com/kf/S30041671c3854fb7aae23ac266e6f8ddH.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100039306830.mp4","Tactical Chest Bag Military Trekking Pack EDC Sports Bag Shoulder Bag Crossbody Pack Assault Pouch for Hiking Cycling Campinga","USD 20.45","USD 6.55","0%","USD","7","USD 0.46","30","99.1%","https://s.click.aliexpress.com/e/_DmTvhM1",,,,,,
"1005005195941911","https://ae04.alicdn.com/kf/S4af77e73b323477e94e5ca050dba2d68a.jpg",,"Naturehike Camping Seasoning Jar Portable Outdoor Kitchen Barbecue Cruets Spice Set Seasoning Can Bottles Set Camping Supplies","USD 19.88","USD 9.76","0%","USD","7","USD 0.68","71","94.0%","https://s.click.aliexpress.com/e/_DkEyWi1",,,,,,
"1005005099268980","https://ae04.alicdn.com/kf/S327a0c5b277a4897a622100bc0e3bbddR.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100046276455.mp4","Ms Male New Classic Polarized Sunglasses Dazzle Colour Film Mirror Spring Sunglasses Motorcycle Running Fishing","USD 11.86","USD 5.45","0%","USD","7","USD 0.38","13","100.0%","https://s.click.aliexpress.com/e/_DBDkBYv",,,,,,
"33017863038","https://ae04.alicdn.com/kf/Sf2398b07be124738bad13e7da5e10966o.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100101157381.mp4","VILEAD IXPE Foam Mat Thickened Winter Camping 180*55*1.5cm Folding Portable Tent Mattress Sleeping Pads Camping Equipment","USD 41.81","USD 26.34","37%","USD","7","USD 1.84","36","95.3%","https://s.click.aliexpress.com/e/_DCc3IXb",,,,,,
"1005003492815850","https://ae04.alicdn.com/kf/H83c12646547245d6ad9bde2fa0e19c3fi.jpg",,"Power Weight Lifting Wrist Wraps Cotton Elastic Bandage Hand Sport Wristband Wrist Support Brace For Gym Training Dumbbell","USD 9.16","USD 4.49","51%","USD","8.0","USD 0.36","46","90.0%","https://s.click.aliexpress.com/e/_DdezFyZ",,,,,,
"32805216846","https://ae04.alicdn.com/kf/HTB13vGTQFXXXXXuXXXXq6xXFXXXT.jpg",,"Get into the bowl! cycling jersey Clearance motocross men M bicycle exercise cycling clothing thin wicking cycling jersey 6525","USD 19.99","USD 9.80","51%","USD","8.5","USD 0.83","66","94.3%","https://s.click.aliexpress.com/e/_DCrQIRL",,,,,,
"1005003731389566","https://ae04.alicdn.com/kf/H318fc725a6554125b47b2e66387bb9bfL.jpg",,"Original VSETT Kickstand for VSETT 8 8+ VSETT8 VSETT8+ Z8PRO ZERO 8 Pro Electric Scooter Foot Support Pedal MACURY Spare Parts","USD 20.00","USD 14.00","30%","USD","7","USD 0.98","18","90.0%","https://s.click.aliexpress.com/e/_Dl07ra5",,,,,,
