"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004251507296","https://ae04.alicdn.com/kf/S3b136653b44a4a1baa49b87095988589w.jpg",,"16Pcs/Set Silicone Elastic Shoelaces Elastic Shoe Laces Special No Tie Shoelace for Men Women Creative Lazy Rubber Lacs 13 Color","USD 2.35","USD 1.41","40%","USD","7","USD 0.10","484","91.4%","https://s.click.aliexpress.com/e/_DDpKu3x",,,,,,
"1005003667822806","https://ae04.alicdn.com/kf/H923bd420769c408d883232cf64427ad7i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344620574173.mp4","Mini Bag Sealer 2 in 1 Rechargeable Portable Bag Vacuum Heat Sealer&Cutter for Plastic Snack PVC Bags Outdoor Picnic Campaign","USD 10.90","USD 7.63","30%","USD","8.0","USD 0.61","2765","92.4%","https://s.click.aliexpress.com/e/_DFJgHi5",,,,,,
"4001349152860","https://ae04.alicdn.com/kf/Sb11328dbd2364f7a853c1efb4861921dz.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/277080975093.mp4","LIGE Top Brand Luxury Fashion Diver Watch Men 30ATM Waterproof Date Clock Sport Watches Mens Quartz Wristwatch Relogio Masculino","USD 284.90","USD 19.94","93%","USD","8.0","USD 1.60","1507","92.4%","https://s.click.aliexpress.com/e/_DCNfBsp",,,,,,
"1005004873798857","https://ae04.alicdn.com/kf/S141630f0bdae4b7da04596551903fd5fu.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100094878427.mp4","10/20Pcs/Set New Cute Bowknot Headbands Girls Elastic Hair Bands Hair Accessories for Kids Cartoon Bows Headwear Ornaments Gift","USD 3.16","USD 2.02","36%","USD","8.0","USD 0.16","8077","94.9%","https://s.click.aliexpress.com/e/_DFRfSzn",,,,,,
"1005004406959014","https://ae04.alicdn.com/kf/S50bbaa358dc74b53ae66093550d3f1528.jpg",,"Bed for Dog Cat Pet Square Plush Kennel Medium Small Dog Sofa Bed Cushion Pet Calming Dog Bed House Pet Supplies Accessories","USD 14.71","USD 11.77","20%","USD","11.0","USD 1.29","3211","92.4%","https://s.click.aliexpress.com/e/_Dc8wimt",,,,,,
"1005004983952283","https://ae04.alicdn.com/kf/S9e09cbc95ce94ccdac0f624d64246d3at.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/280818498875.mp4","MR.GREEN Nail Clippers Stainless Steel Anti Splash Fingernail Cutter Manicure Tools Bionics Design Nail Trimmer Pedicure Scissor","USD 19.09","USD 8.40","56%","USD","7","USD 0.59","1900","98.3%","https://s.click.aliexpress.com/e/_Dl375bn",,,,,,
"1005003644997071","https://ae04.alicdn.com/kf/Sbd4678808ed74599a54cc16727aa2cfcq.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/343076495232.mp4","1 Pcs L-Shape Punch-Free Hook Wall Mounted Cloth Hanger for Coats Hats Towels Clothes Kitchen Rack Roll Bathroom Holder","USD 5.53","USD 2.65","52%","USD","14.0","USD 0.37","6020","92.8%","https://s.click.aliexpress.com/e/_DBXGHY1",,,,,,
"1005004444887840","https://ae04.alicdn.com/kf/Sb6ca26a1283745c180121564074a835dk.jpg",,"New Design Stainless Steel Cubic Zirconia Chain Hoop Earring For Women Star Moon Pendant Cartilage Earring Piercing Jewelry","USD 2.72","USD 1.36","50%","USD","8.0","USD 0.11","5332","94.8%","https://s.click.aliexpress.com/e/_DBcsl3X",,,,,,
"1005002651420550","https://ae04.alicdn.com/kf/H213a1aa489d94810b1823887532862beb.jpg",,"Boxed nitrile silicone rubber O-ring repair kit faucet sealing valve waterproof machine oil-resistant gasket combination kit","USD 2.86","USD 2.29","20%","USD","7","USD 0.16","10132","96.3%","https://s.click.aliexpress.com/e/_DdZO6ol",,,,,,
"1005003376595267","https://ae04.alicdn.com/kf/Sc8cda7d6a34b40f895f0d63c3ca4b6f6W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/330278342562.mp4","New NAVIFORCE Fashion Military Watches for Men Luxury Original Sports Chronograph Watch ​Waterproof Quartz WristWatch Clock Gift","USD 53.98","USD 22.13","59%","USD","8.0","USD 1.77","1802","96.3%","https://s.click.aliexpress.com/e/_Dn2hnRR",,,,,,
