"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004532086712","https://ae04.alicdn.com/kf/S89145912acc6468c8b3a7a9b6ad484643.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083710604.mp4","Solar Light Outdoor 106 LED Super Bright Motion Sensor Solar Strong Power LED Garden Wall Lamp IP65 Waterproof 4 Working Modes","USD 33.80","USD 19.94","41%","USD","7","USD 1.40","5922","92.2%","https://s.click.aliexpress.com/e/_DCfkwmt",,,,,,
"1005004901410766","https://ae04.alicdn.com/kf/S911b731da1464c068df5732c26c7a007Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100100713533.mp4","San Martin NH34 39mm BB GMT Luxury Men's Watches Business Dress Watch For Men Automatic Mechanical Sapphire Date Windows BGW9","USD 428.00","USD 273.92","36%","USD","8.0","USD 21.91","371","93.5%","https://s.click.aliexpress.com/e/_DC9ztVj",,,,,,
"1005003402474929","https://ae04.alicdn.com/kf/Scb6579dfd9954bb8931ffa7aced3260bO.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100012758523.mp4","65.5ft/20m TUYA WS2811 TUYA DreamColor LED Strip Lights RGBIC Smartlife 60LEDs/M Flexible Tape Work with Alexa Google Assistant","USD 20.58","USD 10.50","49%","USD","8.0","USD 0.84","1831","95.3%","https://s.click.aliexpress.com/e/_DlsTFtT",,,,,,
"1005004613794784","https://ae04.alicdn.com/kf/S4358ae0e03624e60830c22a05009e429g.png",,"KingFast SSD Hard Disk 1TB 240 GB 256GB 120 GB 128GB 480GB 512GB Sata 3 HD SSD Internal Solid State Drive for Laptop Desktop","USD 19.15","USD 9.00","53%","USD","3","USD 0.27","2275","97.3%","https://s.click.aliexpress.com/e/_Dmjdtxf",,,,,,
"1005004980435611","https://ae04.alicdn.com/kf/S5166aaa6700b42c789308e418c0879c5c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351677813814.mp4","COLMI P8 MAX 2022 New Bluetooth Answer Call Smart Watch Men Full Touch Fitness Tracker IP67 Waterproof Smartwatch women","USD 34.72","USD 16.67","52%","USD","7","USD 1.17","680","98.0%","https://s.click.aliexpress.com/e/_DmjAuhJ",,,,,,
"4001015424356","https://ae04.alicdn.com/kf/S7163027e9e9745cc928ee267966a80bcw.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/310370285492.mp4","Modern Waterproof outdoor Long Strip LED wall lamp IP65 Aluminum Wall Light Garden porch Sconce Light 110V 220V Sconce Luminaire","USD 46.97","USD 24.42","48%","USD","8.0","USD 1.95","448","97.1%","https://s.click.aliexpress.com/e/_DdBLKmh",,,,,,
"1005005027952059","https://ae04.alicdn.com/kf/S53a423eba722490aadf02eab2ed2ab63f.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100121109659.mp4","2023 New PAGANI Design Top Brand Men's Sports Quartz Watches Sapphire Stainless Steel Waterproof Chronograph Luxury Reloj Hombre","USD 117.44","USD 54.02","54%","USD","7","USD 3.78","645","98.3%","https://s.click.aliexpress.com/e/_DDaN5zj",,,,,,
"1005005059324429","https://ae04.alicdn.com/kf/Sdfc94ec30b7c479488e6da62c1b93b8fh.png",,"Baseus Bowie H1 Wireless Headphone 40dB Hybrid Active Noise Cancelling Earphone Bluetooth 5.2 HiFi Over the Ear Headset 70H Time","USD 89.97","USD 39.59","56%","USD","7","USD 2.77","478","92.4%","https://s.click.aliexpress.com/e/_Dl9t0pP",,,,,,
"1005004338418962","https://ae04.alicdn.com/kf/S2dc9713a2ac84893b7624a353cc9a3a0w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100037615735.mp4","Olanly Memory Foam Bath Mat Anti-Slip Shower Carpet  Soft Foot Pad Decoration Floor Protector Absorbent Quick Dry Bathroom Rug","USD 17.26","USD 8.28","52%","USD","8.0","USD 0.66","3595","97.2%","https://s.click.aliexpress.com/e/_DEVeXt7",,,,,,
"1005004985464994","https://ae04.alicdn.com/kf/S38ead3f9f2e94ec7b7d1c6a6960a3c9a1.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100018398765.mp4","Nokia E1200 Wireless Bluetooth Headphones Multiple Modes Hi-Res Sound 700mAH Large Battery 40H Play Earphone Built-in HD Mic","USD 57.52","USD 25.31","56%","USD","7","USD 1.77","880","96.2%","https://s.click.aliexpress.com/e/_DEkN4rx",,,,,,
"1005001877460833","https://ae04.alicdn.com/kf/Sc584f545870f40c9ba09caafe531aba4N.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100136933420.mp4","STEELDIVE SD1975 Mens Automatic Watches Men Dive Watch 300m Waterproof Mechanical Wristwatch C3 Luminous Clock Sapphire Mirror","USD 498.00","USD 99.60","80%","USD","8.0","USD 7.97","730","97.3%","https://s.click.aliexpress.com/e/_DcfvU09",,,,,,
"1005005136858409","https://ae04.alicdn.com/kf/Sab079ce4d0f148b5aa33271b0f98b330D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100141878269.mp4","PAGANI DESIGN Men Watches Stainless Steel Automatic Mechanical Watches Sports Business Luxury Watch Men Clock Relogio Masculino","USD 185.96","USD 66.95","64%","USD","7","USD 4.69","158","95.6%","https://s.click.aliexpress.com/e/_DF2Dmcl",,,,,,
"1005005368144631","https://ae04.alicdn.com/kf/S259c4b664c9e435ab296a2d1051c47010.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100135414134.mp4","Baseus D02 Pro Wireless Headphones Sport Bluetooth 5.3 Earphone Handsfree Headset Ear Buds Head Phone Earbuds For iPhone Xiaomi","USD 46.35","USD 20.40","56%","USD","7","USD 1.43","1549","97.3%","https://s.click.aliexpress.com/e/_DCaxpTP",,,,,,
"1005005027846578","https://ae04.alicdn.com/kf/Sb2ff5887f5244ea2b89a36be3c52f174X.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100061703520.mp4","2022 PAGANI DESIGN New Business Left Crown Men Mechanical Wristwatches 100M Waterproof Sapphire Glass PD-1662 GMT Watch for Men","USD 198.04","USD 81.72","0%","USD","7","USD 5.72","272","93.0%","https://s.click.aliexpress.com/e/_DkrjBAN",,,,,,
"1005004977305399","https://ae04.alicdn.com/kf/Sffed377ccd4a473d89a506bf6b066efeV.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100102035130.mp4","100% Original Lenovo K30 Portable Hifi Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Mic","USD 20.58","USD 9.88","52%","USD","7","USD 0.69","3097","96.0%","https://s.click.aliexpress.com/e/_DCsNBpT",,,,,,
"1005005038746564","https://ae04.alicdn.com/kf/S6a9e475c7e3f452596fad34e320bcab6i.jpg",,"32L Soft Cooler Bag with Hard Liner Large Insulated Picnic Lunch Bag Box Cooling Bag for Camping BBQ Family Outdoor Activities","USD 40.79","USD 19.99","51%","USD","7","USD 1.40","1404","96.3%","https://s.click.aliexpress.com/e/_DBopylB",,,,,,
"1005004990739436","https://ae04.alicdn.com/kf/S9bba28983b074b33b8e8758b97cfd7cax.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100068413625.mp4","100% Original Lenovo K3 Pro 5.0 Portable Bluetooth Speaker Stereo Surround Wireless Bluetooth Speakers Audio Player Loudspeaker","USD 22.70","USD 11.12","51%","USD","7","USD 0.78","4075","94.5%","https://s.click.aliexpress.com/e/_DkgMKgl",,,,,,
"1005005027867323","https://ae04.alicdn.com/kf/Se4f624ab8c8a4032b23f3e55820ef834X.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100051542079.mp4","New PAGANI DESIGN 40MM Men Mechanical Wristwatches Luxury Sapphire Glass AR Coated Automatic Watches 20bar Waterproof Watch Men","USD 202.24","USD 83.45","0%","USD","7","USD 5.84","218","95.1%","https://s.click.aliexpress.com/e/_DDYKhe9",,,,,,
"1005005101600003","https://ae04.alicdn.com/kf/Hd476faf5305f4cbdb6687cf29bf23a641.jpeg",,"Repair Pad Insulation Heat-Resistant Soldering Station Silicon Soldering Mat Work Pad Desk Platform for BGA Soldering Station","USD 6.82","USD 3.35","0%","USD","7","USD 0.23","1766","98.2%","https://s.click.aliexpress.com/e/_DmUQZZb",,,,,,
"1005005042184222","https://ae04.alicdn.com/kf/S2cb5a2a479234c4d9177e2bc2aae6181f.jpg",,"Original Lenovo TH40 Stereo Wireless Bluetooth Earphones Sports Headphones HIFI Sound Quality Smart Noise Cancelling With Mic","USD 66.22","USD 30.46","54%","USD","7","USD 2.13","1544","94.8%","https://s.click.aliexpress.com/e/_DmximC9",,,,,,
"1005005056258379","https://ae04.alicdn.com/kf/Sb28cc87cb403494bb8672c8f60854794l.jpg",,"75x35 60x40cm Microfiber Car Wash Towel Fast Drying Auto Cleaning Extra Soft Cloth High Water Absorption For Car Wash Accessorie","USD 6.62","USD 2.12","0%","USD","7","USD 0.15","12001","93.2%","https://s.click.aliexpress.com/e/_DmlUKX7",,,,,,
"1005005057140290","https://ae04.alicdn.com/kf/S0ea9add23cbf4bcd9756b6486aa10499P.jpg",,"Lenovo thinkplus TH10 Stereo Headphone Bluetooth Earphones Music Headset with Mic for Mobile XiaoMi iPhone Sumsamg Android IOS","USD 38.00","USD 17.10","55%","USD","7","USD 1.20","2447","96.1%","https://s.click.aliexpress.com/e/_DC5xHJr",,,,,,
