"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004934778923","https://ae04.alicdn.com/kf/Sdd568666230f4040aedb5181db03572es.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100098204770.mp4","Large Toilet Paper Holder Wall-Mounted Paper Roll Holder With Storage Tray Toilet Organizer Phone Stand Bathroom Accessories","USD 37.19","USD 13.02","65%","USD","15.0","USD 1.95","1109","94.0%","https://s.click.aliexpress.com/e/_DF9etON",,,,,,
"1005005042753112","https://ae04.alicdn.com/kf/HTB1e.dCKAvoK1RjSZFDq6xY3pXaS.jpg",,"26pcs Wooden Toys Baby DIY Toy Cartoon Fruit Animal Stringing Threading Wooden beads Toy Monterssori Educational for Kids GYH","USD 8.30","USD 2.75","0%","USD","7","USD 0.19","1270","94.3%","https://s.click.aliexpress.com/e/_DkNQELj",,,,,,
"1005005193290944","https://ae04.alicdn.com/kf/Sae285f5d1f4e44a0bc9c40d9bb86c4362.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/293691726221.mp4","Phoenix A2 Massage Gun Muscle Relaxation Deep Tissue Massager Dynamic Therapy Vibrator Shaping Pain Relief Back Foot Massager","USD 128.33","USD 41.07","68%","USD","7","USD 2.87","631","96.5%","https://s.click.aliexpress.com/e/_DlT6cCd",,,,,,
"1005004123111692","https://ae04.alicdn.com/kf/S7d034b1a4a514ba494754d91bb70048aA.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100095114394.mp4","New Design Tiny Blue Flower Necklace for Women Gold Color Cute Pendant Necklace Trendy Female Birthday Jewelry Bijoux Gift","USD 7.09","USD 3.90","45%","USD","7","USD 0.27","1698","95.1%","https://s.click.aliexpress.com/e/_DEiUjG1",,,,,,
"1005004338333722","https://ae04.alicdn.com/kf/Sb738fd529531458ab94d7146d4aa729f4.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100037558955.mp4","Outdoor Solar Garden Light Led Waterproof Decoration Wall Lamp for Fence Porch Country Balcony House Garden Street Lighting","USD 6.34","USD 4.50","29%","USD","14.5","USD 0.65","757","89.8%","https://s.click.aliexpress.com/e/_DcxaNnn",,,,,,
"4000273602311","https://ae04.alicdn.com/kf/Sdcd586d94ba4466a8fb9bf7b27aaf51bp.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/322166100831.mp4","Vintage Genuine Leather Watchband 7 Colors Strap 18mm 20mm 22mm 24mm Women Men Cowhide Smart Watch Band Belt Accessories","USD 15.60","USD 4.68","70%","USD","9.0","USD 0.42","1861","96.4%","https://s.click.aliexpress.com/e/_Dea8qvP",,,,,,
"1005002278151241","https://ae04.alicdn.com/kf/Scc8abafb366a4f3297823a8d8be2fb2dx.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345399340299.mp4","Automatic Toothpaste Dispenser Dust-proof Toothbrush Holder Wall Mount Stand Bathroom Accessories Set Toothpaste Squeezer","USD 9.47","USD 5.68","40%","USD","8.0","USD 0.45","879","92.9%","https://s.click.aliexpress.com/e/_DnDtqPT",,,,,,
"1005005316801379","https://ae04.alicdn.com/kf/S005cd25ad3904d0c9fb9d791e45ace5b7.jpg",,"Elastic Shoe Laces Semicircle No Tie Shoelaces for Kids and Adult Shoelace for Sneakers Quick Lazy Laces Colorful Capsule Buckle","USD 1.79","USD 0.98","45%","USD","7","USD 0.07","2131","97.7%","https://s.click.aliexpress.com/e/_DBMdoQD",,,,,,
"1005004482181291","https://ae04.alicdn.com/kf/Sfcc65ae4cf6e4f64971378c6dace9117i.jpg",,"No Tie Flat Hiking Running Shoe Lace Elastic Shoelaces Outdoor Leisure Sneakers Quick Safety Flat Shoelace Kids Adult Lazy Laces","USD 2.67","USD 1.20","55%","USD","7","USD 0.08","1346","95.4%","https://s.click.aliexpress.com/e/_DCSm17X",,,,,,
"1005003602166768","https://ae04.alicdn.com/kf/S370e270aaa334362b88066d6c211362a2.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/338542710817.mp4","1pc Toothbrush Holder Set Toothpaste Dispenser Wall Mount Stand Bathroom Accessories Set Rolling Automatic Squeezer","USD 8.60","USD 4.99","42%","USD","8.0","USD 0.40","1006","93.4%","https://s.click.aliexpress.com/e/_DdpiVyD",,,,,,
"1005003384506814","https://ae04.alicdn.com/kf/Sa78cb9d070d0447bbab3e96f616155a6c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/332129830797.mp4","Handheld Toilet Bidet Sprayer with Brass Valve Stainless Steel Bidet Shower Hygienic Shower Wall Mounted Toilet Bidet Sprayer","USD 13.99","USD 7.83","44%","USD","8.0","USD 0.63","609","93.3%","https://s.click.aliexpress.com/e/_DCSG2Qv",,,,,,
"1005001877460833","https://ae04.alicdn.com/kf/Sc584f545870f40c9ba09caafe531aba4N.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100136933420.mp4","STEELDIVE SD1975 Mens Automatic Watches Men Dive Watch 300m Waterproof Mechanical Wristwatch C3 Luminous Clock Sapphire Mirror","USD 498.00","USD 99.60","80%","USD","8.0","USD 7.97","730","97.3%","https://s.click.aliexpress.com/e/_DDjcfKl",,,,,,
"1005005027888950","https://ae04.alicdn.com/kf/S535832b4ecc54fb89f1758152ba12bbec.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100121116220.mp4","2023 PAGANI Design New 40mm Men Luxury Automatic Mechanical Watches Men NH35A Stainless Steel Waterproof Watch Relogio Masculino","USD 188.43","USD 67.84","64%","USD","7","USD 4.75","757","94.6%","https://s.click.aliexpress.com/e/_Dmmltst",,,,,,
"1005004074929080","https://ae04.alicdn.com/kf/Sdb3cb761e79a4e138c9b7bbc72f2901b1.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100039929078.mp4","Automatic Toothpaste Dispenser Bathroom Accessories Toothbrush Holder for Home Bathroom Dental Cream Dispenser Dropshipping","USD 10.50","USD 4.72","55%","USD","7","USD 0.33","1808","92.9%","https://s.click.aliexpress.com/e/_Dd3eAAZ",,,,,,
